epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,18100.7,0.51065,0.31455,0.86327,0.77844,0.41571,0.47281,0.37845,0.9188,2.06509,1.08576,0.0020305,0.0020305,0.0020305
163,18212,0.50895,0.31415,0.86715,0.78697,0.41515,0.47235,0.37821,0.91954,2.06938,1.08861,0.001981,0.001981,0.001981
164,18323.4,0.50619,0.31234,0.86734,0.78605,0.41654,0.47384,0.37831,0.91809,2.07643,1.08912,0.0019315,0.0019315,0.0019315
165,18434.9,0.50762,0.31241,0.86658,0.76658,0.41956,0.47464,0.37999,0.91462,2.0769,1.086,0.001882,0.001882,0.001882
166,18546.5,0.50623,0.31024,0.8627,0.77879,0.41549,0.47419,0.38004,0.91286,2.06801,1.08634,0.0018325,0.0018325,0.0018325
167,18657.8,0.50395,0.3091,0.86359,0.7578,0.41929,0.47566,0.38088,0.91338,2.06519,1.0864,0.001783,0.001783,0.001783
168,18769.7,0.50914,0.31057,0.86669,0.75762,0.42268,0.47883,0.38275,0.91361,2.06537,1.08599,0.0017335,0.0017335,0.0017335
169,18881.5,0.49115,0.2998,0.85688,0.77299,0.41713,0.48025,0.38472,0.90991,2.06986,1.08382,0.001684,0.001684,0.001684
170,18992.7,0.4984,0.30628,0.85741,0.75562,0.42061,0.48012,0.38463,0.90634,2.07136,1.08138,0.0016345,0.0016345,0.0016345
171,19104.5,0.49234,0.3008,0.85528,0.75002,0.41946,0.48077,0.38496,0.90447,2.06785,1.08067,0.001585,0.001585,0.001585
172,19216.1,0.49235,0.29941,0.85722,0.73868,0.42424,0.47973,0.38431,0.90505,2.06446,1.08188,0.0015355,0.0015355,0.0015355
173,19327.2,0.49625,0.30138,0.86162,0.78573,0.41301,0.47844,0.38322,0.90419,2.06203,1.08197,0.001486,0.001486,0.001486
174,19439,0.49288,0.2996,0.85673,0.75452,0.42094,0.47929,0.38383,0.9042,2.0655,1.08046,0.0014365,0.0014365,0.0014365
175,19550.7,0.49557,0.30178,0.85986,0.77417,0.41804,0.47879,0.3836,0.90483,2.0651,1.08034,0.001387,0.001387,0.001387
176,19661.9,0.48157,0.2913,0.85594,0.7461,0.42608,0.48161,0.38487,0.90353,2.0662,1.07831,0.0013375,0.0013375,0.0013375
177,19773.6,0.48508,0.29704,0.85619,0.74408,0.42685,0.48193,0.38579,0.90361,2.06572,1.07957,0.001288,0.001288,0.001288
178,19886.9,0.47763,0.29006,0.85488,0.73675,0.42761,0.48223,0.38529,0.90355,2.06877,1.07992,0.0012385,0.0012385,0.0012385
179,19999,0.48762,0.29566,0.85755,0.73423,0.42704,0.48199,0.38537,0.90312,2.0737,1.07846,0.001189,0.001189,0.001189
180,20110.3,0.47697,0.28997,0.85584,0.80796,0.41045,0.48175,0.3854,0.90211,2.07714,1.07744,0.0011395,0.0011395,0.0011395
181,20222.7,0.47456,0.28879,0.85156,0.81194,0.4096,0.48211,0.38574,0.9038,2.07892,1.07882,0.00109,0.00109,0.00109
182,20336.5,0.48753,0.2942,0.85645,0.81705,0.40904,0.48214,0.38585,0.90496,2.08173,1.08049,0.0010405,0.0010405,0.0010405
183,20448.3,0.46414,0.28818,0.85243,0.81835,0.40967,0.48214,0.38586,0.90516,2.08333,1.08043,0.000991,0.000991,0.000991
184,20561,0.46826,0.28467,0.85153,0.81976,0.41004,0.48278,0.38698,0.90675,2.08779,1.08205,0.0009415,0.0009415,0.0009415
