epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,7874.72,0.66071,0.42757,0.89286,0.71818,0.39666,0.43563,0.3379,1.01249,2.18428,1.06472,0.00466467,0.00466467,0.00466467
139,7931.35,0.65132,0.42098,0.89247,0.71602,0.39451,0.43362,0.33624,1.01583,2.19284,1.06441,0.00453537,0.00453537,0.00453537
140,7987.78,0.65504,0.42353,0.89438,0.69646,0.39861,0.43192,0.33485,1.01421,2.18641,1.06296,0.00440745,0.00440745,0.00440745
141,8044.04,0.64442,0.41541,0.88826,0.74078,0.39107,0.43419,0.33715,1.00751,2.1718,1.05939,0.00428093,0.00428093,0.00428093
142,8100.49,0.64467,0.41852,0.89113,0.72887,0.39319,0.43445,0.33758,1.00703,2.15687,1.06035,0.00415584,0.00415584,0.00415584
143,8157.63,0.64579,0.41747,0.88691,0.69744,0.40021,0.43535,0.3384,1.00539,2.16289,1.06127,0.00403222,0.00403222,0.00403222
144,8214.45,0.63679,0.41291,0.8885,0.71955,0.39753,0.43644,0.33991,1.00603,2.16294,1.06461,0.0039101,0.0039101,0.0039101
145,8271.28,0.6303,0.40449,0.88473,0.73367,0.39554,0.43998,0.34297,1.00303,2.16958,1.06108,0.0037895,0.0037895,0.0037895
146,8330.29,0.63945,0.41236,0.88755,0.73497,0.3975,0.44151,0.34357,1.00446,2.16758,1.06214,0.00367046,0.00367046,0.00367046
147,8387.61,0.64321,0.41161,0.89262,0.72967,0.39742,0.43926,0.3423,1.00414,2.17541,1.06436,0.00355301,0.00355301,0.00355301
148,8446.12,0.62581,0.40118,0.88501,0.72878,0.39594,0.43853,0.34156,1.00456,2.18689,1.0656,0.00343718,0.00343718,0.00343718
149,8504.77,0.62468,0.40401,0.88419,0.71204,0.40066,0.43962,0.34224,1.00377,2.18602,1.06495,0.00332298,0.00332298,0.00332298
150,8563.25,0.61858,0.39689,0.88265,0.74258,0.39107,0.43854,0.34223,1.00688,2.19176,1.06741,0.00321046,0.00321046,0.00321046
151,8621.81,0.62327,0.39932,0.88309,0.67924,0.40741,0.44022,0.34286,1.00272,2.19119,1.06574,0.00309964,0.00309964,0.00309964
152,8680.24,0.62497,0.39423,0.87876,0.7428,0.39342,0.44108,0.34351,0.99923,2.19201,1.06444,0.00299055,0.00299055,0.00299055
153,8737.89,0.62282,0.39781,0.88057,0.73023,0.3967,0.43948,0.3432,1.00015,2.20368,1.06527,0.00288321,0.00288321,0.00288321
154,8795.9,0.61549,0.3913,0.87949,0.74386,0.39583,0.43964,0.34324,0.9983,2.20291,1.06421,0.00277765,0.00277765,0.00277765
155,8854.57,0.61221,0.39411,0.88276,0.74812,0.39543,0.44001,0.34334,0.99749,2.20249,1.06372,0.0026739,0.0026739,0.0026739
156,8913.49,0.60723,0.38737,0.8795,0.7427,0.3955,0.44015,0.34404,0.99726,2.20555,1.06115,0.00257198,0.00257198,0.00257198
157,8971.87,0.60648,0.38815,0.88076,0.75459,0.39507,0.44032,0.3446,0.99508,2.20241,1.05962,0.00247192,0.00247192,0.00247192
158,9032.14,0.61495,0.39204,0.8786,0.76249,0.39449,0.44168,0.34499,0.99261,2.19384,1.05944,0.00237374,0.00237374,0.00237374
159,9092.17,0.60504,0.39118,0.88169,0.756,0.39274,0.44201,0.345,0.9908,2.20347,1.05997,0.00227747,0.00227747,0.00227747
